survived,pclass,sex,age,sibsp,parch,fare,embarked,embark_town,deck,family_size,is_alone,sex_binary
0,3,male,7.0,4,1,39.6875,S,Southampton,Unknown,6,0,1
0,3,male,21.0,0,0,7.8,S,Southampton,Unknown,1,1,1
1,1,female,49.0,1,0,76.7292,C,Cherbourg,D,2,0,0
1,2,female,29.0,1,0,26.0,S,Southampton,Unknown,2,0,0
0,1,male,65.0,0,1,61.9792,C,Cherbourg,B,2,0,1
1,1,male,28.0,0,0,35.5,S,Southampton,C,1,1,1
1,2,female,21.0,0,0,10.5,S,Southampton,Unknown,1,1,0
0,3,male,28.5,0,0,7.2292,C,Cherbourg,Unknown,1,1,1
1,2,female,5.0,1,2,27.75,S,Southampton,Unknown,4,0,0
0,3,male,11.0,5,2,46.9,S,Southampton,Unknown,8,0,1
0,3,male,22.0,0,0,7.2292,C,Cherbourg,Unknown,1,1,1
1,1,female,38.0,0,0,80.0,S,Southampton,B,1,1,0
0,1,male,45.0,1,0,83.475,S,Southampton,C,2,0,1
0,3,male,4.0,3,2,27.9,S,Southampton,Unknown,6,0,1
0,1,male,28.0,0,0,27.7208,C,Cherbourg,Unknown,1,1,1
1,3,male,28.0,1,1,15.2458,C,Cherbourg,Unknown,3,0,1
1,2,female,29.0,0,0,10.5,S,Southampton,F,1,1,0
0,3,male,19.0,0,0,8.1583,S,Southampton,Unknown,1,1,1
1,3,female,17.0,4,2,7.925,S,Southampton,Unknown,7,0,0
0,3,male,26.0,2,0,8.6625,S,Southampton,Unknown,3,0,1
0,2,male,32.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,3,female,16.0,5,2,46.9,S,Southampton,Unknown,8,0,0
0,2,male,21.0,0,0,73.5,S,Southampton,Unknown,1,1,1
0,3,male,26.0,1,0,14.4542,C,Cherbourg,Unknown,2,0,1
1,3,male,32.0,0,0,56.4958,S,Southampton,Unknown,1,1,1
0,3,male,25.0,0,0,7.65,S,Southampton,F,1,1,1
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
0,3,male,28.0,0,0,8.05,S,Southampton,Unknown,1,1,1
1,2,male,0.83,0,2,29.0,S,Southampton,Unknown,3,0,1
1,3,female,30.0,0,0,12.475,S,Southampton,Unknown,1,1,0
0,3,male,22.0,0,0,9.0,S,Southampton,Unknown,1,1,1
1,3,male,29.0,0,0,9.5,S,Southampton,Unknown,1,1,1
1,3,female,28.0,0,0,7.7875,Q,Queenstown,Unknown,1,1,0
0,1,male,28.0,0,0,47.1,S,Southampton,Unknown,1,1,1
1,2,female,17.0,0,0,10.5,S,Southampton,Unknown,1,1,0
1,3,female,33.0,3,0,15.85,S,Southampton,Unknown,4,0,0
0,3,male,16.0,1,3,34.375,S,Southampton,Unknown,5,0,1
0,3,male,28.0,0,0,8.05,S,Southampton,Unknown,1,1,1
1,1,female,23.0,3,2,263.0,S,Southampton,C,6,0,0
0,3,male,24.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,29.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,20.0,0,0,7.8542,S,Southampton,Unknown,1,1,1
0,1,male,46.0,1,0,61.175,S,Southampton,E,2,0,1
0,3,male,26.0,1,2,20.575,S,Southampton,Unknown,4,0,1
0,3,male,59.0,0,0,7.25,S,Southampton,Unknown,1,1,1
0,3,male,28.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,1,male,71.0,0,0,34.6542,C,Cherbourg,A,1,1,1
1,1,male,23.0,0,1,63.3583,C,Cherbourg,D,2,0,1
1,2,female,34.0,0,1,23.0,S,Southampton,Unknown,2,0,0
0,2,male,34.0,1,0,26.0,S,Southampton,Unknown,2,0,1
0,3,female,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,0
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
0,1,male,21.0,0,1,77.2875,S,Southampton,D,2,0,1
0,3,male,33.0,0,0,8.6542,S,Southampton,Unknown,1,1,1
0,3,male,37.0,2,0,7.925,S,Southampton,Unknown,3,0,1
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
1,3,female,21.0,0,0,7.65,S,Southampton,Unknown,1,1,0
1,3,male,28.0,0,0,7.775,S,Southampton,Unknown,1,1,1
0,3,male,38.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
1,3,female,28.0,1,0,24.15,Q,Queenstown,Unknown,2,0,0
0,1,male,47.0,0,0,52.0,S,Southampton,C,1,1,1
0,3,female,14.5,1,0,14.4542,C,Cherbourg,Unknown,2,0,0
0,3,male,22.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,female,20.0,1,0,9.825,S,Southampton,Unknown,2,0,0
0,3,female,17.0,0,0,14.4583,C,Cherbourg,Unknown,1,1,0
0,3,male,21.0,0,0,7.925,S,Southampton,Unknown,1,1,1
0,3,male,70.5,0,0,7.75,Q,Queenstown,Unknown,1,1,1
0,2,male,29.0,1,0,21.0,S,Southampton,Unknown,2,0,1
0,1,male,24.0,0,1,247.5208,C,Cherbourg,B,2,0,1
0,3,female,2.0,4,2,31.275,S,Southampton,Unknown,7,0,0
0,2,male,21.0,2,0,73.5,S,Southampton,Unknown,3,0,1
0,3,male,28.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,2,male,32.5,1,0,30.0708,C,Cherbourg,Unknown,2,0,1
1,2,female,32.5,0,0,13.0,S,Southampton,E,1,1,0
0,1,male,54.0,0,1,77.2875,S,Southampton,D,2,0,1
1,3,male,12.0,1,0,11.2417,C,Cherbourg,Unknown,2,0,1
0,3,male,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,1
1,3,male,24.0,0,0,7.1417,S,Southampton,Unknown,1,1,1
1,3,female,28.0,1,1,22.3583,C,Cherbourg,F,3,0,0
0,3,male,45.0,0,0,6.975,S,Southampton,Unknown,1,1,1
0,3,male,33.0,0,0,7.8958,C,Cherbourg,Unknown,1,1,1
0,3,male,20.0,0,0,7.05,S,Southampton,Unknown,1,1,1
0,3,female,47.0,1,0,14.5,S,Southampton,Unknown,2,0,0
1,2,female,29.0,1,0,26.0,S,Southampton,Unknown,2,0,0
0,2,male,25.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,2,male,23.0,0,0,15.0458,C,Cherbourg,Unknown,1,1,1
1,1,female,19.0,0,2,26.2833,S,Southampton,D,3,0,0
0,1,male,37.0,1,0,53.1,S,Southampton,C,2,0,1
0,3,male,16.0,0,0,9.2167,S,Southampton,Unknown,1,1,1
0,1,male,24.0,0,0,79.2,C,Cherbourg,B,1,1,1
0,3,female,28.0,0,2,15.2458,C,Cherbourg,Unknown,3,0,0
1,3,female,22.0,0,0,7.75,S,Southampton,Unknown,1,1,0
1,3,female,24.0,1,0,15.85,S,Southampton,Unknown,2,0,0
0,3,male,19.0,0,0,6.75,Q,Queenstown,Unknown,1,1,1
0,2,male,18.0,0,0,11.5,S,Southampton,Unknown,1,1,1
0,2,male,19.0,1,1,36.75,S,Southampton,Unknown,3,0,1
1,3,male,27.0,0,0,7.7958,S,Southampton,Unknown,1,1,1
0,3,female,9.0,2,2,34.375,S,Southampton,Unknown,5,0,0
0,2,male,36.5,0,2,26.0,S,Southampton,F,3,0,1
0,2,male,42.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,2,male,51.0,0,0,12.525,S,Southampton,Unknown,1,1,1
1,1,female,22.0,1,0,66.6,S,Southampton,C,2,0,0
0,3,male,55.5,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,40.5,0,2,14.5,S,Southampton,Unknown,3,0,1
0,3,male,28.0,0,0,7.3125,S,Southampton,Unknown,1,1,1
0,1,male,51.0,0,1,61.3792,C,Cherbourg,Unknown,2,0,1
1,3,female,16.0,0,0,7.7333,Q,Queenstown,Unknown,1,1,0
0,3,male,30.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,28.0,0,0,8.6625,S,Southampton,Unknown,1,1,1
0,3,male,28.0,8,2,69.55,S,Southampton,Unknown,11,0,1
0,3,male,44.0,0,1,16.1,S,Southampton,Unknown,2,0,1
1,2,female,40.0,0,0,15.75,S,Southampton,Unknown,1,1,0
0,3,male,26.0,0,0,7.775,S,Southampton,Unknown,1,1,1
0,3,male,17.0,0,0,8.6625,S,Southampton,Unknown,1,1,1
0,3,male,1.0,4,1,39.6875,S,Southampton,Unknown,6,0,1
1,3,male,9.0,0,2,20.525,S,Southampton,Unknown,3,0,1
1,1,female,28.0,0,1,55.0,S,Southampton,E,2,0,0
0,3,female,45.0,1,4,27.9,S,Southampton,Unknown,6,0,0
0,1,male,28.0,0,0,25.925,S,Southampton,Unknown,1,1,1
0,3,male,28.0,0,0,56.4958,S,Southampton,Unknown,1,1,1
0,1,male,61.0,0,0,33.5,S,Southampton,B,1,1,1
0,3,male,4.0,4,1,29.125,Q,Queenstown,Unknown,6,0,1
1,3,female,1.0,1,1,11.1333,S,Southampton,Unknown,3,0,0
0,3,male,21.0,0,0,7.925,S,Southampton,Unknown,1,1,1
0,1,male,56.0,0,0,30.6958,C,Cherbourg,A,1,1,1
0,3,male,18.0,1,1,7.8542,S,Southampton,Unknown,3,0,1
0,3,male,28.0,3,1,25.4667,S,Southampton,Unknown,5,0,1
0,1,female,50.0,0,0,28.7125,C,Cherbourg,C,1,1,0
0,2,male,30.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,3,male,36.0,0,0,0.0,S,Southampton,Unknown,1,1,1
0,3,female,28.0,8,2,69.55,S,Southampton,Unknown,11,0,0
0,2,male,28.0,0,0,15.05,C,Cherbourg,Unknown,1,1,1
0,3,male,9.0,4,2,31.3875,S,Southampton,Unknown,7,0,1
1,2,male,1.0,2,1,39.0,S,Southampton,F,4,0,1
1,3,female,4.0,0,2,22.025,S,Southampton,Unknown,3,0,0
0,1,male,28.0,0,0,50.0,S,Southampton,A,1,1,1
1,3,female,28.0,1,0,15.5,Q,Queenstown,Unknown,2,0,0
1,1,male,45.0,0,0,26.55,S,Southampton,Unknown,1,1,1
0,3,male,40.0,1,1,15.5,Q,Queenstown,Unknown,3,0,1
0,3,male,36.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
1,2,female,32.0,0,0,13.0,S,Southampton,Unknown,1,1,0
0,2,male,19.0,0,0,13.0,S,Southampton,Unknown,1,1,1
1,3,female,19.0,1,0,7.8542,S,Southampton,Unknown,2,0,0
1,2,male,3.0,1,1,26.0,S,Southampton,F,3,0,1
1,1,female,44.0,0,0,27.7208,C,Cherbourg,B,1,1,0
1,1,female,58.0,0,0,146.5208,C,Cherbourg,B,1,1,0
0,3,male,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,1
0,3,male,42.0,0,1,8.4042,S,Southampton,Unknown,2,0,1
1,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
0,2,female,24.0,0,0,13.0,S,Southampton,Unknown,1,1,0
0,3,male,28.0,0,0,9.5,S,Southampton,Unknown,1,1,1
0,3,male,28.0,8,2,69.55,S,Southampton,Unknown,11,0,1
0,3,male,34.0,0,0,6.4958,S,Southampton,Unknown,1,1,1
0,3,male,45.5,0,0,7.225,C,Cherbourg,Unknown,1,1,1
1,3,male,18.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,female,2.0,0,1,10.4625,S,Southampton,G,2,0,0
0,3,male,32.0,1,0,15.85,S,Southampton,Unknown,2,0,1
1,3,male,26.0,0,0,18.7875,C,Cherbourg,Unknown,1,1,1
1,3,female,16.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
1,1,male,40.0,0,0,31.0,C,Cherbourg,A,1,1,1
0,3,male,24.0,0,0,7.05,S,Southampton,Unknown,1,1,1
1,2,female,35.0,0,0,21.0,S,Southampton,Unknown,1,1,0
0,3,male,22.0,0,0,7.25,S,Southampton,Unknown,1,1,1
0,2,male,30.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,3,male,28.0,1,0,7.75,Q,Queenstown,Unknown,2,0,1
1,1,female,31.0,1,0,113.275,C,Cherbourg,D,2,0,0
1,3,female,27.0,0,0,7.925,S,Southampton,Unknown,1,1,0
0,2,male,42.0,1,0,27.0,S,Southampton,Unknown,2,0,1
1,1,female,32.0,0,0,76.2917,C,Cherbourg,D,1,1,0
0,2,male,30.0,0,0,10.5,S,Southampton,Unknown,1,1,1
1,3,male,16.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,2,male,27.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,3,male,51.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
1,1,male,38.0,1,0,90.0,S,Southampton,C,2,0,1
0,3,male,22.0,0,0,9.35,S,Southampton,Unknown,1,1,1
1,2,male,19.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,3,male,20.5,0,0,7.25,S,Southampton,Unknown,1,1,1
0,2,male,18.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,3,female,28.0,3,1,25.4667,S,Southampton,Unknown,5,0,0
1,1,female,35.0,1,0,83.475,S,Southampton,C,2,0,0
0,3,male,29.0,0,0,7.775,S,Southampton,Unknown,1,1,1
0,2,male,59.0,0,0,13.5,S,Southampton,Unknown,1,1,1
1,3,female,5.0,4,2,31.3875,S,Southampton,Unknown,7,0,0
0,2,male,24.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,3,female,28.0,0,0,7.55,S,Southampton,Unknown,1,1,0
0,2,male,44.0,1,0,26.0,S,Southampton,Unknown,2,0,1
1,2,female,8.0,0,2,26.25,S,Southampton,Unknown,3,0,0
0,2,male,19.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,2,male,33.0,0,0,12.275,S,Southampton,Unknown,1,1,1
0,3,female,28.0,1,0,14.4542,C,Cherbourg,Unknown,2,0,0
1,3,female,28.0,1,0,15.5,Q,Queenstown,Unknown,2,0,0
0,2,male,29.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,3,male,22.0,0,0,7.125,S,Southampton,Unknown,1,1,1
0,3,male,30.0,0,0,7.225,C,Cherbourg,Unknown,1,1,1
0,1,male,44.0,2,0,90.0,Q,Queenstown,C,3,0,1
0,3,female,25.0,0,0,7.775,S,Southampton,Unknown,1,1,0
1,2,female,24.0,0,2,14.5,S,Southampton,Unknown,3,0,0
1,1,male,37.0,1,1,52.5542,S,Southampton,D,3,0,1
0,2,male,54.0,1,0,26.0,S,Southampton,Unknown,2,0,1
0,3,male,28.0,0,0,7.25,S,Southampton,Unknown,1,1,1
0,3,female,29.0,1,1,10.4625,S,Southampton,G,3,0,0
0,1,male,62.0,0,0,26.55,S,Southampton,C,1,1,1
0,3,male,30.0,1,0,16.1,S,Southampton,Unknown,2,0,1
0,3,female,41.0,0,2,20.2125,S,Southampton,Unknown,3,0,0
1,3,female,29.0,0,2,15.2458,C,Cherbourg,Unknown,3,0,0
1,1,female,28.0,0,0,79.2,C,Cherbourg,Unknown,1,1,0
1,1,female,30.0,0,0,86.5,S,Southampton,B,1,1,0
1,1,female,35.0,0,0,512.3292,C,Cherbourg,Unknown,1,1,0
1,2,female,50.0,0,1,26.0,S,Southampton,Unknown,2,0,0
0,3,male,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,1
1,3,male,3.0,4,2,31.3875,S,Southampton,Unknown,7,0,1
0,1,male,52.0,1,1,79.65,S,Southampton,E,3,0,1
0,1,male,40.0,0,0,0.0,S,Southampton,B,1,1,1
0,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
0,2,male,36.0,0,0,10.5,S,Southampton,Unknown,1,1,1
0,3,male,16.0,4,1,39.6875,S,Southampton,Unknown,6,0,1
1,3,male,25.0,1,0,7.775,S,Southampton,Unknown,2,0,1
1,1,female,58.0,0,1,153.4625,S,Southampton,C,2,0,0
1,1,female,35.0,0,0,135.6333,S,Southampton,C,1,1,0
0,1,male,28.0,0,0,31.0,S,Southampton,Unknown,1,1,1
1,3,male,25.0,0,0,0.0,S,Southampton,Unknown,1,1,1
1,2,female,41.0,0,1,19.5,S,Southampton,Unknown,2,0,0
0,1,male,37.0,0,1,29.7,C,Cherbourg,C,2,0,1
1,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
1,1,female,63.0,1,0,77.9583,S,Southampton,D,2,0,0
0,3,female,45.0,0,0,7.75,S,Southampton,Unknown,1,1,0
0,2,male,28.0,0,0,0.0,S,Southampton,Unknown,1,1,1
0,3,male,7.0,4,1,29.125,Q,Queenstown,Unknown,6,0,1
1,3,female,35.0,1,1,20.25,S,Southampton,Unknown,3,0,0
0,3,male,65.0,0,0,7.75,Q,Queenstown,Unknown,1,1,1
0,3,male,28.0,0,0,7.8542,S,Southampton,Unknown,1,1,1
0,3,male,16.0,0,0,9.5,S,Southampton,Unknown,1,1,1
1,3,male,19.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,1,male,28.0,0,0,26.0,S,Southampton,A,1,1,1
0,3,male,33.0,0,0,8.6625,C,Cherbourg,Unknown,1,1,1
1,3,male,30.0,0,0,9.5,S,Southampton,Unknown,1,1,1
0,3,male,22.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
1,2,male,42.0,0,0,13.0,S,Southampton,Unknown,1,1,1
1,3,female,22.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
1,1,female,26.0,0,0,78.85,S,Southampton,Unknown,1,1,0
1,1,female,19.0,1,0,91.0792,C,Cherbourg,B,2,0,0
0,2,male,36.0,0,0,12.875,C,Cherbourg,D,1,1,1
0,3,female,24.0,0,0,8.85,S,Southampton,Unknown,1,1,0
0,3,male,24.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
0,1,male,28.0,0,0,27.7208,C,Cherbourg,Unknown,1,1,1
0,3,male,23.5,0,0,7.2292,C,Cherbourg,Unknown,1,1,1
0,1,female,2.0,1,2,151.55,S,Southampton,C,4,0,0
1,1,male,28.0,0,0,30.5,S,Southampton,C,1,1,1
1,1,female,50.0,0,1,247.5208,C,Cherbourg,B,2,0,0
1,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
1,3,male,28.0,2,0,23.25,Q,Queenstown,Unknown,3,0,1
0,3,male,19.0,0,0,0.0,S,Southampton,Unknown,1,1,1
1,2,female,28.0,0,0,12.35,Q,Queenstown,E,1,1,0
0,3,male,28.0,0,0,8.05,S,Southampton,Unknown,1,1,1
1,1,male,0.92,1,2,151.55,S,Southampton,C,4,0,1
1,1,female,28.0,0,0,110.8833,C,Cherbourg,Unknown,1,1,0
1,1,female,17.0,1,0,108.9,C,Cherbourg,C,2,0,0
0,2,male,30.0,1,0,24.0,C,Cherbourg,Unknown,2,0,1
1,1,female,30.0,0,0,56.9292,C,Cherbourg,E,1,1,0
1,1,female,24.0,0,0,83.1583,C,Cherbourg,C,1,1,0
1,1,female,18.0,2,2,262.375,C,Cherbourg,B,5,0,0
0,2,female,26.0,1,1,26.0,S,Southampton,Unknown,3,0,0
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
0,2,male,43.0,1,1,26.25,S,Southampton,Unknown,3,0,1
1,3,female,26.0,0,0,7.8542,S,Southampton,Unknown,1,1,0
1,2,female,24.0,1,0,26.0,S,Southampton,Unknown,2,0,0
0,2,male,54.0,0,0,14.0,S,Southampton,Unknown,1,1,1
1,1,female,31.0,0,2,164.8667,S,Southampton,C,3,0,0
1,1,female,40.0,1,1,134.5,C,Cherbourg,E,3,0,0
0,3,male,22.0,0,0,7.25,S,Southampton,Unknown,1,1,1
0,3,male,27.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
1,2,female,30.0,0,0,12.35,Q,Queenstown,Unknown,1,1,0
1,2,female,22.0,1,1,29.0,S,Southampton,Unknown,3,0,0
0,3,male,28.0,8,2,69.55,S,Southampton,Unknown,11,0,1
1,1,female,36.0,0,0,135.6333,C,Cherbourg,C,1,1,0
0,3,male,61.0,0,0,6.2375,S,Southampton,Unknown,1,1,1
1,2,female,36.0,0,0,13.0,S,Southampton,D,1,1,0
1,3,female,31.0,1,1,20.525,S,Southampton,Unknown,3,0,0
1,1,female,16.0,0,1,57.9792,C,Cherbourg,B,2,0,0
1,3,female,28.0,2,0,23.25,Q,Queenstown,Unknown,3,0,0
0,1,male,45.5,0,0,28.5,S,Southampton,C,1,1,1
0,1,male,38.0,0,1,153.4625,S,Southampton,C,2,0,1
0,3,male,16.0,2,0,18.0,S,Southampton,Unknown,3,0,1
1,1,female,28.0,1,0,133.65,S,Southampton,Unknown,2,0,0
0,3,male,28.0,0,0,7.8958,S,Southampton,Unknown,1,1,1
0,1,male,29.0,1,0,66.6,S,Southampton,C,2,0,1
1,1,female,41.0,0,0,134.5,C,Cherbourg,E,1,1,0
1,3,male,45.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,1,male,45.0,0,0,35.5,S,Southampton,Unknown,1,1,1
1,2,male,2.0,1,1,26.0,S,Southampton,F,3,0,1
1,1,female,24.0,3,2,263.0,S,Southampton,C,6,0,0
0,2,male,28.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,2,male,25.0,0,0,13.0,S,Southampton,Unknown,1,1,1
0,2,male,36.0,0,0,13.0,S,Southampton,Unknown,1,1,1
1,2,female,24.0,0,0,13.0,S,Southampton,F,1,1,0
1,2,female,40.0,0,0,13.0,S,Southampton,Unknown,1,1,0
1,3,female,28.0,1,0,16.1,S,Southampton,Unknown,2,0,0
1,3,male,3.0,1,1,15.9,S,Southampton,Unknown,3,0,1
0,3,male,42.0,0,0,8.6625,S,Southampton,Unknown,1,1,1
0,3,male,23.0,0,0,9.225,S,Southampton,Unknown,1,1,1
0,1,male,28.0,0,0,35.0,S,Southampton,C,1,1,1
0,3,male,15.0,1,1,7.2292,C,Cherbourg,Unknown,3,0,1
0,3,male,25.0,1,0,17.8,S,Southampton,Unknown,2,0,1
0,3,male,28.0,0,0,7.225,C,Cherbourg,Unknown,1,1,1
0,3,male,28.0,0,0,9.5,S,Southampton,Unknown,1,1,1
1,1,female,22.0,0,1,55.0,S,Southampton,E,2,0,0
0,2,female,38.0,0,0,13.0,S,Southampton,Unknown,1,1,0
1,3,female,28.0,0,0,7.8792,Q,Queenstown,Unknown,1,1,0
1,3,female,28.0,0,0,7.8792,Q,Queenstown,Unknown,1,1,0
0,3,male,40.0,1,4,27.9,S,Southampton,Unknown,6,0,1
0,2,male,29.0,1,0,27.7208,C,Cherbourg,Unknown,2,0,1
0,3,female,45.0,0,1,14.4542,C,Cherbourg,Unknown,2,0,0
0,3,male,35.0,0,0,7.05,S,Southampton,Unknown,1,1,1
0,3,male,28.0,1,0,15.5,Q,Queenstown,Unknown,2,0,1
0,3,male,30.0,0,0,7.25,S,Southampton,Unknown,1,1,1
1,1,female,60.0,1,0,75.25,C,Cherbourg,D,2,0,0
1,3,female,28.0,0,0,7.2292,C,Cherbourg,Unknown,1,1,0
1,3,female,28.0,0,0,7.75,Q,Queenstown,Unknown,1,1,0
1,1,female,24.0,0,0,69.3,C,Cherbourg,B,1,1,0
1,1,male,25.0,1,0,55.4417,C,Cherbourg,E,2,0,1
0,3,male,18.0,1,0,6.4958,S,Southampton,Unknown,2,0,1
0,3,male,19.0,0,0,8.05,S,Southampton,Unknown,1,1,1
0,1,male,22.0,0,0,135.6333,C,Cherbourg,Unknown,1,1,1
0,3,female,3.0,3,1,21.075,S,Southampton,Unknown,5,0,0
1,1,female,28.0,1,0,82.1708,C,Cherbourg,Unknown,2,0,0
1,3,female,22.0,0,0,7.25,S,Southampton,Unknown,1,1,0
0,1,male,27.0,0,2,211.5,C,Cherbourg,C,3,0,1
0,3,male,20.0,0,0,4.0125,C,Cherbourg,Unknown,1,1,1
0,3,male,19.0,0,0,7.775,S,Southampton,Unknown,1,1,1
1,1,female,42.0,0,0,227.525,C,Cherbourg,Unknown,1,1,0
1,3,female,1.0,0,2,15.7417,C,Cherbourg,Unknown,3,0,0
0,3,male,32.0,0,0,7.925,S,Southampton,Unknown,1,1,1
